"min_temperature" "city_name" "mean"
"499" 10 "Melbourne" 4.80735294117647
"500" 10 "Perth" 7.32452830188679
"501" 10 "Sydney" 3.71111111111111
"502" 10.1 "Brisbane" 1.52258064516129
"503" 10.1 "Canberra" 5.27142857142857
"504" 10.1 "Melbourne" 5.15
"505" 10.1 "Perth" 6.47
"506" 10.1 "Sydney" 5.32363636363636
"507" 10.2 "Brisbane" 1.25
"508" 10.2 "Canberra" 0.763636363636364
"509" 10.2 "Melbourne" 4.15636363636364
"510" 10.2 "Perth" 5.2551724137931
"511" 10.2 "Sydney" 3.7462962962963
"512" 10.3 "Brisbane" 3.86666666666667
"513" 10.3 "Canberra" 6.90909090909091
"514" 10.3 "Melbourne" 3.94878048780488
"515" 10.3 "Perth" 6.23272727272727
"516" 10.3 "Sydney" 6.26129032258065
"517" 10.4 "Brisbane" 1.03870967741935
"518" 10.4 "Canberra" 6.05263157894737
"519" 10.4 "Melbourne" 6.33243243243243
"520" 10.4 "Perth" 6.13387096774194
"521" 10.4 "Sydney" 3.19285714285714
"522" 10.5 "Brisbane" 1.18108108108108
"523" 10.5 "Canberra" 1.28571428571429
"524" 10.5 "Melbourne" 4.89130434782609
"525" 10.5 "Perth" 6.40363636363636
"526" 10.5 "Sydney" 3.79444444444444
"527" 10.6 "Brisbane" 1.48421052631579
"528" 10.6 "Canberra" 0.733333333333333
"529" 10.6 "Melbourne" 4.75294117647059
"530" 10.6 "Perth" 5.80394736842105
"531" 10.6 "Sydney" 17.02
"532" 10.7 "Brisbane" 2.27096774193548
"533" 10.7 "Canberra" 4.32
"534" 10.7 "Melbourne" 5.00298507462687
"535" 10.7 "Perth" 7.225
"536" 10.7 "Sydney" 7.11931818181818
"537" 10.8 "Brisbane" 0.842857142857143
"538" 10.8 "Canberra" 3.18571428571429
"539" 10.8 "Melbourne" 4.80625
"540" 10.8 "Perth" 6.68805970149254
"541" 10.8 "Sydney" 7.74925373134328
"542" 10.9 "Brisbane" 0.0774193548387097
"543" 10.9 "Canberra" 6.58
"544" 10.9 "Melbourne" 4.24583333333333
"545" 10.9 "Perth" 5.07142857142857
"546" 10.9 "Sydney" 3.57358490566038
"547" 11 "Brisbane" 1.02857142857143
"548" 11 "Canberra" 3.12222222222222
"549" 11 "Melbourne" 3.93684210526316
"550" 11 "Perth" 6.5925
"551" 11 "Sydney" 6.22105263157895
"552" 11.1 "Brisbane" 2.09444444444444
"553" 11.1 "Canberra" 3.0125
"554" 11.1 "Melbourne" 3.63492063492063
"555" 11.1 "Perth" 6.1
"556" 11.1 "Sydney" 4.70365853658537
"557" 11.2 "Brisbane" 1.7609756097561
"558" 11.2 "Canberra" 0.929411764705882
"559" 11.2 "Melbourne" 4.86363636363636
"560" 11.2 "Perth" 5.48235294117647
"561" 11.2 "Sydney" 9.00147058823529
"562" 11.3 "Brisbane" 1.17058823529412
"563" 11.3 "Canberra" 5.9
"564" 11.3 "Melbourne" 5.02592592592593
"565" 11.3 "Perth" 7.94823529411765
"566" 11.3 "Sydney" 8.36153846153846
"567" 11.4 "Brisbane" 2.85
"568" 11.4 "Canberra" 1.55384615384615
"569" 11.4 "Melbourne" 5.57662337662338
"570" 11.4 "Perth" 6.41739130434783
"571" 11.4 "Sydney" 7.10344827586207
"572" 11.5 "Brisbane" 0.533333333333333
"573" 11.5 "Canberra" 10.275
"574" 11.5 "Melbourne" 7.16458333333333
"575" 11.5 "Perth" 7.10545454545455
"576" 11.5 "Sydney" 7.04489795918367
"577" 11.6 "Brisbane" 1.36857142857143
"578" 11.6 "Canberra" 2.35
"579" 11.6 "Melbourne" 5.80888888888889
"580" 11.6 "Perth" 8.31940298507463
"581" 11.6 "Sydney" 5.29285714285714
"582" 11.7 "Brisbane" 2.76046511627907
"583" 11.7 "Canberra" 1.42857142857143
"584" 11.7 "Melbourne" 7.6140350877193
"585" 11.7 "Perth" 6.55147058823529
"586" 11.7 "Sydney" 6.77466666666667
"587" 11.8 "Brisbane" 2.1575
"588" 11.8 "Canberra" 8.21818181818182
"589" 11.8 "Melbourne" 4.23636363636364
"590" 11.8 "Perth" 7.28484848484849
"591" 11.8 "Sydney" 13.5818181818182
"592" 11.9 "Brisbane" 1.83673469387755
"593" 11.9 "Canberra" 4.71666666666667
"594" 11.9 "Melbourne" 4.87659574468085
"595" 11.9 "Perth" 5.79753086419753
"596" 11.9 "Sydney" 5.48444444444444
"597" 12 "Brisbane" 3.7468085106383
"598" 12 "Canberra" 2.69090909090909
"599" 12 "Melbourne" 5.65
"600" 12 "Perth" 7.56176470588235
"601" 12 "Sydney" 8.90204081632653
"602" 12.1 "Brisbane" 2.39024390243902
"603" 12.1 "Canberra" 1.41333333333333
"604" 12.1 "Melbourne" 6.28918918918919
"605" 12.1 "Perth" 7.95208333333333
"606" 12.1 "Sydney" 7.51521739130435
"607" 12.2 "Brisbane" 3.05365853658537
"608" 12.2 "Canberra" 4.61111111111111
"609" 12.2 "Melbourne" 4.86666666666667
"610" 12.2 "Perth" 5.58235294117647
"611" 12.2 "Sydney" 7.76440677966102
"612" 12.3 "Brisbane" 3.07843137254902
"613" 12.3 "Canberra" 1.94
"614" 12.3 "Melbourne" 3.815625
"615" 12.3 "Perth" 9.14905660377359
"616" 12.3 "Sydney" 6.53648648648649
"617" 12.4 "Brisbane" 1.54864864864865
"618" 12.4 "Canberra" 11.4625
"619" 12.4 "Melbourne" 3.19428571428571
"620" 12.4 "Perth" 8.26842105263158
"621" 12.4 "Sydney" 5.04776119402985
"622" 12.5 "Brisbane" 1.856
"623" 12.5 "Canberra" 1.27692307692308
"624" 12.5 "Melbourne" 5.29821428571429
"625" 12.5 "Perth" 8.05277777777778
"626" 12.5 "Sydney" 7.67173913043478
"627" 12.6 "Brisbane" 3.39649122807018
"628" 12.6 "Canberra" 2.04210526315789
"629" 12.6 "Melbourne" 4.838
"630" 12.6 "Perth" 7.922
"631" 12.6 "Sydney" 4.39272727272727
"632" 12.7 "Brisbane" 3.19047619047619
"633" 12.7 "Canberra" 7.68666666666667
"634" 12.7 "Melbourne" 6.57627118644068
"635" 12.7 "Perth" 7.26101694915254
"636" 12.7 "Sydney" 4.70338983050847
"637" 12.8 "Brisbane" 0.925531914893617
"638" 12.8 "Canberra" 3.35714285714286
"639" 12.8 "Melbourne" 6.82131147540984
"640" 12.8 "Perth" 11.0921052631579
"641" 12.8 "Sydney" 10.834
"642" 12.9 "Brisbane" 2.245
"643" 12.9 "Canberra" 6
"644" 12.9 "Melbourne" 5.44181818181818
"645" 12.9 "Perth" 9.07708333333333
"646" 12.9 "Sydney" 5.10408163265306
"647" 13 "Brisbane" 3.31515151515151
"648" 13 "Canberra" 1.18
"649" 13 "Melbourne" 6.41551724137931
"650" 13 "Perth" 8.54883720930233
"651" 13 "Sydney" 5.93114754098361
"652" 13.1 "Brisbane" 7.42641509433962
"653" 13.1 "Canberra" 3.52
"654" 13.1 "Melbourne" 4.61212121212121
